GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1628969-1628973-1629011-1630540-,M. Bridges - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,10,8,2,0.8,41.323333,40,71,0.563,13,27,0.481,20,29,0.69,11,23,34,22,10.0,7,1,1,12,24,113,20.0,113,57,2085,769,211,166,213,584,151,230,720,174,139,1440,164,247,225,178,2923,199,747,1796,2817,150,164,74,123970
Lineups,-1626157-1628404-1628969-1630540-,K. Towns - J. Hart - M. Bridges - M. McBride,1610612752,NYK,8,7,1,0.875,41.131667,35,72,0.486,14,34,0.412,12,14,0.857,9,31,40,26,11.0,4,7,3,20,18,96,16.0,186,85,701,715,212,192,209,1215,131,177,868,316,354,853,226,168,176,140,2960,362,103,2757,3008,233,204,104,123395
Lineups,-1628368-1630170-1630577-1642844-,D. Fox - D. Vassell - J. Champagnie - D. Harper,1610612759,SAS,14,7,7,0.5,40.881667,42,86,0.488,9,28,0.321,23,27,0.852,15,25,40,20,5.0,8,7,6,16,26,116,35.0,49,85,3161,1178,213,152,175,1204,237,221,1416,136,153,889,104,219,176,208,2529,160,103,3041,2945,137,157,28,122645
Lineups,-1628969-1628973-1629011-1629013-,M. Bridges - J. Brunson - M. Robinson - L. Shamet,1610612752,NYK,7,7,0,1.0,37.961667,33,67,0.493,10,19,0.526,12,20,0.6,10,25,35,18,12.0,9,0,2,15,23,88,7.0,237,85,1,1,227,209,225,1192,217,334,380,316,234,1645,190,219,215,233,2992,133,1387,2474,2912,161,228,353,113885
Lineups,-1628384-1628973-1629011-1630540-,O. Anunoby - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,9,7,2,0.778,37.458333,33,66,0.5,7,22,0.318,17,27,0.63,13,27,40,15,10.0,5,3,1,21,17,90,8.0,150,85,2085,800,231,209,231,797,323,283,1424,219,153,1623,133,194,176,287,2923,284,314,1796,3025,256,223,292,112375
Lineups,-1628368-1628436-1629640-1642844-,D. Fox - L. Kornet - K. Johnson - D. Harper,1610612759,SAS,14,10,4,0.714,36.973333,26,71,0.366,9,23,0.391,20,26,0.769,14,23,37,13,13.0,9,8,2,19,17,81,4.0,49,19,2873,883,233,281,213,2022,237,271,989,174,165,1134,115,247,205,343,3014,133,83,2474,2993,256,252,582,110920
Lineups,-1628436-1630577-1642264-1642844-,L. Kornet - J. Champagnie - S. Castle - D. Harper,1610612759,SAS,14,9,5,0.643,36.716667,33,63,0.524,11,24,0.458,18,21,0.857,8,29,37,18,13.0,8,8,3,16,18,95,12.0,49,37,3068,1049,235,209,240,735,195,258,743,200,226,853,262,182,205,233,3014,160,83,2757,2945,233,208,164,110150
Lineups,-1628436-1630170-1630577-1642844-,L. Kornet - D. Vassell - J. Champagnie - D. Harper,1610612759,SAS,15,9,6,0.6,36.688333,40,71,0.563,12,22,0.545,17,20,0.85,9,27,36,21,9.0,10,8,8,21,18,109,13.0,37,37,3129,1072,236,166,213,584,168,283,364,219,234,892,226,194,212,196,2883,116,83,3109,3025,233,177,149,110065
Lineups,-1626157-1628384-1628973-1629013-,K. Towns - O. Anunoby - J. Brunson - L. Shamet,1610612752,NYK,5,5,0,1.0,36.01,33,65,0.508,12,25,0.48,20,24,0.833,6,26,32,17,8.0,7,1,6,17,22,98,45.0,494,196,1,1,240,209,236,793,168,247,721,174,187,923,370,208,243,249,2827,199,747,3041,2958,170,200,15,108030
Lineups,-1626157-1628384-1628969-1629013-,K. Towns - O. Anunoby - M. Bridges - L. Shamet,1610612752,NYK,6,6,0,1.0,34.293333,34,61,0.557,13,25,0.52,20,24,0.833,5,24,29,18,8.0,7,1,6,12,23,101,43.0,333,131,1,1,251,201,254,606,151,247,382,174,187,923,437,232,268,233,2827,199,747,3041,2817,161,197,19,102880
Lineups,-203903-1628384-1628973-1630540-,J. Clarkson - O. Anunoby - J. Brunson - M. McBride,1610612752,NYK,6,5,1,0.833,34.101667,30,59,0.508,7,19,0.368,24,33,0.727,11,21,32,11,9.0,4,4,6,22,20,91,21.0,333,196,701,748,256,233,258,791,323,334,1072,129,111,1345,164,272,243,422,2883,362,232,3041,3036,203,221,67,102305
Lineups,-1628404-1628969-1628973-1629013-,J. Hart - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,7,7,0,1.0,33.725,23,52,0.442,5,16,0.313,22,26,0.846,6,26,32,16,9.0,13,1,3,13,20,73,10.0,237,85,1,1,261,326,307,1536,450,415,1436,147,165,901,370,208,243,271,2883,77,747,2757,2860,203,281,210,101175
Lineups,-1628973-1629011-1629013-1630540-,J. Brunson - M. Robinson - L. Shamet - M. McBride,1610612752,NYK,8,7,1,0.875,33.268333,27,55,0.491,9,18,0.5,16,26,0.615,7,22,29,20,11.0,3,0,0,11,20,79,-5.0,186,85,701,715,269,266,285,1197,237,364,385,241,165,1641,307,262,268,208,2960,477,1387,1,2766,203,259,2556,99805
Lineups,-1628384-1628969-1628973-1629011-,O. Anunoby - M. Bridges - J. Brunson - M. Robinson,1610612752,NYK,11,9,2,0.818,32.933333,28,50,0.56,6,13,0.462,9,15,0.6,4,25,29,18,14.0,5,3,2,20,18,71,-12.0,89,37,2085,766,271,254,321,602,392,504,736,414,337,1645,569,219,268,233,3036,284,314,2474,3008,233,291,3021,98800
Lineups,-1629640-1630577-1642264-1642844-,K. Johnson - J. Champagnie - S. Castle - D. Harper,1610612759,SAS,13,8,5,0.615,31.945,26,59,0.441,11,31,0.355,6,12,0.5,9,18,27,17,8.0,4,2,1,13,10,69,-12.0,61,57,3068,1067,281,281,258,1542,195,196,1128,621,413,1737,226,322,291,249,2827,362,474,1796,2860,429,303,3021,95835
Lineups,-203903-1628973-1629011-1630540-,J. Clarkson - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,8,7,1,0.875,31.886667,29,56,0.518,6,18,0.333,22,40,0.55,14,25,39,11,5.0,5,3,1,18,23,86,30.0,186,85,701,715,282,245,278,761,392,364,1167,147,76,1729,115,219,185,422,2529,284,314,1796,2975,161,237,30,95660
